ordine,theta,lamda,nome
3,0.39851685,435.413098,blu
3,0.39851685,435.413098,blu
4,0.54279740,435.413098,blu
4,0.54308829,435.413098,blu
5,0.70133147,435.413098,blu
5,0.70191325,435.413098,blu
3,0.53872496,576.221945,giallo 1
3,0.53814319,576.221945,giallo 1
4,0.75369135,576.221945,giallo 1
4,0.75340046,576.221945,giallo 1
5,1.02479916,576.221945,giallo 1
5,1.02567182,576.221945,giallo 1
3,0.54105207,578.515368,giallo 2
3,0.54192473,578.515368,giallo 2
4,0.75660023,578.515368,giallo 2
4,0.75689112,578.515368,giallo 2
5,1.03003515,578.515368,giallo 2
5,1.03178048,578.515368,giallo 2
3,0.50730904,545.432547,verde 1
3,0.50643637,545.432547,verde 1
4,0.70336769,545.432547,verde 1
4,0.70453124,545.432547,verde 1
5,0.94247780,545.432547,verde 1
5,0.94451401,545.432547,verde 1
3,0.45174939,490.875807,verde 2
3,0.45204028,490.875807,verde 2
4,0.62162810,490.875807,verde 2
4,0.62220988,490.875807,verde 2
5,0.81623231,490.875807,verde 2
5,0.81710498,490.875807,verde 2
3,0.36855536,404.435925,viola
3,0.36884625,404.435925,viola
4,0.50032772,404.435925,viola
4,0.50032772,404.435925,viola
5,0.64315383,404.435925,viola
5,0.64344472,404.435925,viola
